BIN码,银行缩写,银行名称,卡类型,卡号长度,数据来源
456418,SPDB,上海浦东发展银行,信用卡,16,LocalDB
45806,ICBC,中国工商银行,信用卡,16,LocalDB
458123,COMM,交通银行,信用卡,16,LocalDB
458124,COMM,交通银行,信用卡,16,LocalDB
461982,CIB,兴业银行,信用卡,16,LocalDB
463758,ABC,中国农业银行,信用卡,16,LocalDB
464580,CMBC,中国民生银行,信用卡,16,LocalDB
464581,CMBC,中国民生银行,信用卡,16,LocalDB
468203,CMB,招商银行,借记卡,16,LocalDB
472067,CMBC,中国民生银行,借记卡,16,LocalDB
472068,CMBC,中国民生银行,借记卡,16,LocalDB
479229,CMB,招商银行,信用卡,16,LocalDB
481699,CEB,中国光大银行,信用卡,16,LocalDB
483536,SPABANK,平安银行,信用卡,16,LocalDB
486466,SHBANK,上海银行,信用卡,16,LocalDB
486493,CIB,兴业银行,信用卡,16,LocalDB
486494,CIB,兴业银行,信用卡,16,LocalDB
486495,SCBHK,渣打银行（香港）,信用卡,16,LocalDB
486497,CEB,中国光大银行,信用卡,16,LocalDB
486861,CIB,兴业银行,信用卡,16,LocalDB
487013,GDB,广东发展银行,信用卡,16,LocalDB
489592,CCB,中国建设银行,信用卡,16,LocalDB
49102,ABC,中国农业银行,准贷记卡,16,LocalDB
491031,CCB,中国建设银行,借记卡,16,LocalDB
491032,GDB,广东发展银行,信用卡,16,LocalDB
491033,GDB,广东发展银行,信用卡,16,LocalDB
491034,GDB,广东发展银行,信用卡,16,LocalDB
491035,GDB,广东发展银行,信用卡,16,LocalDB
491036,GDB,广东发展银行,信用卡,16,LocalDB
491037,GDB,广东发展银行,信用卡,16,LocalDB
491038,GDB,广东发展银行,信用卡,16,LocalDB
493427,GDB,广东发展银行,信用卡,16,LocalDB
498451,SPDB,上海浦东发展银行,信用卡,16,LocalDB
504923,JSBANK,江苏银行,借记卡,16,LocalDB
512425,CMB,招商银行,借记卡,16,LocalDB
512431,NBBANK,宁波银行,信用卡,16,LocalDB
512466,CMBC,中国民生银行,信用卡,16,LocalDB
514027,ABC,中国农业银行,信用卡,16,LocalDB
514906,CITIC,中信银行,信用卡,16,LocalDB
515672,SPDB,上海浦东发展银行,信用卡,16,LocalDB
517636,CMBC,中国民生银行,信用卡,16,LocalDB
517650,SPDB,上海浦东发展银行,信用卡,16,LocalDB
518212,CITIC,中信银行,信用卡,16,LocalDB
518364,GDB,广东发展银行,信用卡,16,LocalDB
518476,BOC,中国银行,信用卡,16,LocalDB
518710,CMB,招商银行,信用卡,16,LocalDB
518718,CMB,招商银行,信用卡,16,LocalDB
518905,PSBC,中国邮政储蓄银行,信用卡,16,LocalDB
519412,ABC,中国农业银行,信用卡,16,LocalDB
519413,ABC,中国农业银行,信用卡,16,LocalDB
519498,SHBANK,上海银行,信用卡,16,LocalDB
520082,ABC,中国农业银行,信用卡,16,LocalDB
520083,ABC,中国农业银行,信用卡,16,LocalDB
520108,CITIC,中信银行,信用卡,16,LocalDB
520131,SHBANK,上海银行,信用卡,16,LocalDB
520152,GDB,广东发展银行,信用卡,16,LocalDB
520169,COMM,交通银行,信用卡,16,LocalDB
520194,NBBANK,宁波银行,信用卡,16,LocalDB
520382,GDB,广东发展银行,信用卡,16,LocalDB
521302,CMB,招商银行,信用卡,16,LocalDB
521899,COMM,交通银行,信用卡,16,LocalDB
522001,BJBANK,北京银行,信用卡,16,LocalDB
523036,CIB,兴业银行,信用卡,16,LocalDB
523952,CMBC,中国民生银行,信用卡,16,LocalDB
523959,HXBANK,华夏银行,信用卡,16,LocalDB
524011,CMB,招商银行,借记卡,16,LocalDB
524031,SHBANK,上海银行,信用卡,16,LocalDB
524047,ICBC,中国工商银行,信用卡,16,LocalDB
524070,CIB,兴业银行,信用卡,16,LocalDB
524090,CEB,中国光大银行,信用卡,16,LocalDB
524091,ICBC,中国工商银行,信用卡,16,LocalDB
524094,CCB,中国建设银行,借记卡,16,LocalDB
525746,BOC,中国银行,信用卡,16,LocalDB
525998,SPDB,上海浦东发展银行,信用卡,16,LocalDB
526410,CCB,中国建设银行,借记卡,16,LocalDB
526855,SPABANK,平安银行,信用卡,16,LocalDB
527414,CIB,兴业银行,信用卡,16,LocalDB
528020,SPABANK,平安银行,信用卡,16,LocalDB
528057,CIB,兴业银行,信用卡,16,LocalDB
528708,HXBANK,华夏银行,信用卡,16,LocalDB
528709,HXBANK,华夏银行,信用卡,16,LocalDB
528856,ICBC,中国工商银行,信用卡,16,LocalDB
528931,GDB,广东发展银行,信用卡,16,LocalDB
528948,CMBC,中国民生银行,信用卡,16,LocalDB
530970,ICBC,中国工商银行,信用卡,16,LocalDB
530984,ICBC,中国工商银行,信用卡,16,LocalDB
530985,ICBC,中国工商银行,信用卡,16,LocalDB
530986,ICBC,中国工商银行,信用卡,16,LocalDB
530987,ICBC,中国工商银行,信用卡,16,LocalDB
530988,ICBC,中国工商银行,信用卡,16,LocalDB
530989,ICBC,中国工商银行,信用卡,16,LocalDB
530990,ICBC,中国工商银行,信用卡,16,LocalDB
531659,SPABANK,平安银行,信用卡,16,LocalDB
531693,CCB,中国建设银行,信用卡,16,LocalDB
532421,CCB,中国建设银行,借记卡,16,LocalDB
532422,CCB,中国建设银行,借记卡,16,LocalDB
532423,CCB,中国建设银行,借记卡,16,LocalDB
532424,CCB,中国建设银行,借记卡,16,LocalDB
532425,CCB,中国建设银行,借记卡,16,LocalDB
532426,CCB,中国建设银行,借记卡,16,LocalDB
532427,CCB,中国建设银行,借记卡,16,LocalDB
532428,CCB,中国建设银行,借记卡,16,LocalDB
532429,CCB,中国建设银行,借记卡,16,LocalDB
532458,CCB,中国建设银行,信用卡,16,LocalDB
53591,ABC,中国农业银行,准贷记卡,16,LocalDB
539867,HXBANK,华夏银行,信用卡,16,LocalDB
539868,HXBANK,华夏银行,信用卡,16,LocalDB
541709,GDB,广东发展银行,信用卡,16,LocalDB
541710,GDB,广东发展银行,信用卡,16,LocalDB
543159,CEB,中国光大银行,信用卡,16,LocalDB
545217,CMBC,中国民生银行,信用卡,16,LocalDB
545392,CMBC,中国民生银行,信用卡,16,LocalDB
545393,CMBC,中国民生银行,信用卡,16,LocalDB
545431,CMBC,中国民生银行,信用卡,16,LocalDB
545447,CMBC,中国民生银行,信用卡,16,LocalDB
545619,CMB,招商银行,信用卡,16,LocalDB
545620,CMB,招商银行,信用卡,16,LocalDB
545621,CMB,招商银行,信用卡,16,LocalDB
545623,CMB,招商银行,信用卡,16,LocalDB
545947,CMB,招商银行,信用卡,16,LocalDB
545948,CMB,招商银行,信用卡,16,LocalDB
548478,ABC,中国农业银行,信用卡,16,LocalDB
548738,CIB,兴业银行,信用卡,16,LocalDB
548838,SHBANK,上海银行,信用卡,16,LocalDB
548844,GDB,广东发展银行,信用卡,16,LocalDB
549633,CIB,兴业银行,信用卡,16,LocalDB
550213,ICBC,中国工商银行,信用卡,16,LocalDB
552245,CCB,中国建设银行,借记卡,16,LocalDB
552288,CMBC,中国民生银行,信用卡,16,LocalDB
552398,CIB,兴业银行,信用卡,16,LocalDB
552534,CMB,招商银行,信用卡,16,LocalDB
552580,DSBHK,大新银行（香港）,信用卡,16,LocalDB
552587,CMB,招商银行,信用卡,16,LocalDB
552599,ABC,中国农业银行,信用卡,16,LocalDB
552794,GDB,广东发展银行,信用卡,16,LocalDB
553161,CMBC,中国民生银行,信用卡,16,LocalDB
556610,CMBC,中国民生银行,信用卡,16,LocalDB
556617,CITIC,中信银行,信用卡,16,LocalDB
557928,PSBC,中国邮政储蓄银行,信用卡,16,LocalDB
558730,ABC,中国农业银行,信用卡,16,LocalDB
558894,GDB,广东发展银行,信用卡,16,LocalDB
558916,CITIC,中信银行,信用卡,16,LocalDB
566666,SJBANK,盛京银行,借记卡,16,LocalDB
601382,BOC,中国银行,借记卡,19,LocalDB
601427,ABC,中国农业银行,借记卡,19,LocalDB
601428,COMM,交通银行,借记卡,17,LocalDB
602907,SPABANK,平安银行,借记卡,16,LocalDB
602969,BJBANK,北京银行,借记卡,16,LocalDB
603265,JSBANK,江苏银行,借记卡,16,LocalDB
60326500,WXCCB,无锡市商业银行,借记卡,16,LocalDB
603367,HZCB,杭州银行,借记卡,18,LocalDB
603445,GCB,广州银行,借记卡,19,LocalDB
603506,JSBANK,江苏银行,借记卡,19,LocalDB
603601,HSBANK,徽商银行,借记卡,17,LocalDB
603602,SXCB,绍兴银行,借记卡,18,LocalDB
603694,CSRCB,常熟农商银行,借记卡,19,LocalDB
609120,TCCB,天津银行,借记卡,18,LocalDB
620010,SPABANK,平安银行,预付卡,16,LocalDB
620013,COMM,交通银行,借记卡,16,LocalDB
620019,BOC,中国银行,预付卡,16,LocalDB
620021,COMM,交通银行,预付卡,19,LocalDB
620040,BOC,中国银行,预付卡,19,LocalDB
620043,FJHXBC,福建海峡银行,借记卡,18,LocalDB
620048,BOC,中国银行,借记卡,16,LocalDB
620058,ICBC,中国工商银行,借记卡,19,LocalDB
620059,ABC,中国农业银行,借记卡,19,LocalDB
620060,CCB,中国建设银行,借记卡,19,LocalDB
620061,BOC,中国银行,借记卡,19,LocalDB
620062,PSBC,中国邮政储蓄银行,借记卡,19,LocalDB
620070,CYS,中国银盛,借记卡,16,LocalDB
620082,CITIC,中信银行,借记卡,16,LocalDB
620085,CEB,中国光大银行,借记卡,16,LocalDB
620088,BJRCB,北京农村商业银行,借记卡,19,LocalDB
620500,NBYZ,鄞州银行,借记卡,16,LocalDB
620501,ABC,中国农业银行,借记卡,19,LocalDB
620515,CEP,中银通商务支付有限公司,预付卡,16,LocalDB
620517,MTBANK,浙江民泰商业银行,借记卡,19,LocalDB
620518,CEB,中国光大银行,借记卡,16,LocalDB
620519,CSCB,长沙银行,借记卡,19,LocalDB
620522,SHBANK,上海银行,借记卡,18,LocalDB
620527,CITIC,中信银行,借记卡,19,LocalDB
620528,XTB,邢台银行,借记卡,19,LocalDB
620530,SPDB,上海浦东发展银行,借记卡,19,LocalDB
621004,DYCCB,东营市商业银行,借记卡,18,LocalDB
621005,SHBANK,上海银行,借记卡,18,LocalDB
621008,XJRCU,新疆农村信用社,借记卡,16,LocalDB
621010,PLCCB,平凉市商业银行,借记卡,16,LocalDB
621013,HURCB,湖北省农村信用社,借记卡,16,LocalDB
621014,SRBANK,上饶银行,借记卡,16,LocalDB
621015,DBSCN,星展银行,借记卡,19,LocalDB
621016,DBS,星展银行,借记卡,19,LocalDB
621017,YNRCC,云南省农村信用社,借记卡,19,LocalDB
621018,GDRCC,广东省农村信用社联合社,借记卡,19,LocalDB
621019,CZBANK,浙商银行,借记卡,19,LocalDB
621021,HBRCU,河北省农村信用社,借记卡,19,LocalDB
621024,NBYZ,鄞州银行,借记卡,16,LocalDB
621026,LNRCC,辽宁省农村信用社,借记卡,19,LocalDB
621028,CZCB,浙江稠州商业银行,借记卡,16,LocalDB
621029,KLB,昆仑银行,借记卡,19,LocalDB
621030,BJBANK,北京银行,借记卡,16,LocalDB
621033,SCRCU,四川省农村信用社,借记卡,19,LocalDB
621034,SHBANK,上海银行,借记卡,16,LocalDB
621035,ZYB,中原银行,借记卡,19,LocalDB
621036,BOHN,海南省农村信用社,借记卡,19,LocalDB
621037,DAQINGB,龙江银行,借记卡,19,LocalDB
621038,TLBANK,铁岭银行,借记卡,19,LocalDB
621041,BOC,中国银行,借记卡,19,LocalDB
621042,NCB,江西银行,借记卡,19,LocalDB
621043,CYBC,集友银行,借记卡,19,LocalDB
621044,CAB,宝鸡商行,借记卡,19,LocalDB
621050,SHBANK,上海银行,借记卡,18,LocalDB
621053,FJNX,福建省农村信用社联合社,借记卡,19,LocalDB
621056801,COMM,交通银行,借记卡,19,LocalDB
621056802,COMM,交通银行,借记卡,19,LocalDB
621056803,COMM,交通银行,借记卡,19,LocalDB
621056805,COMM,交通银行,借记卡,19,LocalDB
621057,LSZRCB,凉山州商业银行,借记卡,19,LocalDB
621058,ZJNX,浙江省农村信用社联合社,借记卡,19,LocalDB
621059,JRCB,江苏江阴农村商业银行,借记卡,16,LocalDB
62105900,XHRCB,新会农商银行,借记卡,16,LocalDB
62105901,SLRCB,双流诚民村镇银行,借记卡,16,LocalDB
621060,WOORI,友利银行（中国）,借记卡,19,LocalDB
621061,GSRCU,甘肃省农村信用社,借记卡,19,LocalDB
621062,CITI,花旗银行（中国）,借记卡,16,LocalDB
621063,CITI,花旗银行（中国）,借记卡,16,LocalDB
621064,AEON,AEON银行,借记卡,16,LocalDB
621065,QHRC,青海农村信用社,借记卡,16,LocalDB
621066,BJRCB,北京农村商业银行,借记卡,19,LocalDB
621067,BJRCB,北京农村商业银行,借记卡,19,LocalDB
621068,BJRCB,北京农村商业银行,借记卡,19,LocalDB
621069,COMM,交通银行,借记卡,19,LocalDB
621070,ZGCCB,自贡市商业银行,借记卡,19,LocalDB
621071,BOP,平顶山银行,借记卡,19,LocalDB
621072,BOSH,新韩银行（中国）,借记卡,19,LocalDB
621073,TJBHB,天津滨海农村商业银行,借记卡,19,LocalDB
621074,BOCY,朝阳银行,借记卡,19,LocalDB
621075,ZYB,中原银行,借记卡,19,LocalDB
621076,JSBANK,江苏银行,借记卡,19,LocalDB
621077,OCBC,华侨银行（中国）,借记卡,16,LocalDB
621080,CCB,中国建设银行,借记卡,16,LocalDB
621081,CCB,中国建设银行,借记卡,19,LocalDB
621082,CCB,中国建设银行,借记卡,16,LocalDB
621083,CCB,中国建设银行,借记卡,16,LocalDB
621084,CCB,中国建设银行,借记卡,16,LocalDB
621086,LSCCB,乐山市商业银行,借记卡,19,LocalDB
621087,CHB,创兴银行有限公司,借记卡,19,LocalDB
621088,MTBANK,浙江民泰商业银行,借记卡,19,LocalDB
621089,PZBANK,盘锦市商业银行,借记卡,19,LocalDB
621090,SNCCB,遂宁市商业银行,借记卡,19,LocalDB
621091,BDCBANK,保定银行,借记卡,19,LocalDB
621092001,URB,联合村镇银行,借记卡,19,LocalDB
621092002,URB,联合村镇银行,借记卡,19,LocalDB
621092003,URB,联合村镇银行,借记卡,19,LocalDB
621092004,URB,联合村镇银行,借记卡,19,LocalDB
621092005,URB,联合村镇银行,借记卡,19,LocalDB
621092006,URB,联合村镇银行,借记卡,19,LocalDB
621092007,URB,联合村镇银行,借记卡,19,LocalDB
621092008,URB,联合村镇银行,借记卡,19,LocalDB
621092009,URB,联合村镇银行,借记卡,19,LocalDB
621092010,URB,联合村镇银行,借记卡,19,LocalDB
621092011,URB,联合村镇银行,借记卡,19,LocalDB
621092012,URB,联合村镇银行,借记卡,19,LocalDB
62109202,URB,联合村镇银行,借记卡,19,LocalDB
62109203,URB,联合村镇银行,借记卡,19,LocalDB
62109205,URB,联合村镇银行,借记卡,19,LocalDB
62109206,URB,联合村镇银行,借记卡,19,LocalDB
62109207,URB,联合村镇银行,借记卡,19,LocalDB
62109208,URB,联合村镇银行,借记卡,19,LocalDB
62109209,URB,联合村镇银行,借记卡,19,LocalDB
62109210,URB,联合村镇银行,借记卡,19,LocalDB
62109211,URB,联合村镇银行,借记卡,19,LocalDB
62109212,URB,联合村镇银行,借记卡,19,LocalDB
62109213,URB,联合村镇银行,借记卡,19,LocalDB
62109214,URB,联合村镇银行,借记卡,19,LocalDB
62109215,URB,联合村镇银行,借记卡,19,LocalDB
621095,PSBC,中国邮政储蓄银行,借记卡,19,LocalDB
621096,PSBC,中国邮政储蓄银行,借记卡,19,LocalDB
621097,DAQINGB,龙江银行,借记卡,19,LocalDB
621098,PSBC,中国邮政储蓄银行,借记卡,19,LocalDB
621099,SCRCU,四川省农村信用社,借记卡,19,LocalDB
621200,JNBANK,济宁银行,借记卡,19,LocalDB
621201,HANABANK,韩亚银行,借记卡,16,LocalDB
621205,ICBC,中国工商银行,借记卡,18,LocalDB
621206,ICBC,中国工商银行,借记卡,18,LocalDB
621207,ICBC,中国工商银行,借记卡,18,LocalDB
621208,ICBC,中国工商银行,借记卡,18,LocalDB
621209,ICBC,中国工商银行,借记卡,18,LocalDB
621210,ICBC,中国工商银行,借记卡,18,LocalDB
621211,ICBC,中国工商银行,借记卡,18,LocalDB
621213,NCBANK,宁波通商银行,借记卡,19,LocalDB
621216,JSB,晋商银行,借记卡,19,LocalDB
621217,HBC,湖北银行,借记卡,18,LocalDB
621221,ZYB,中原银行,借记卡,19,LocalDB
621222,HXBANK,华夏银行,借记卡,16,LocalDB
621223,JZBANK,晋中市商业银行,借记卡,19,LocalDB
621225,ICBC,中国工商银行,借记卡,19,LocalDB
621226,ICBC,中国工商银行,借记卡,19,LocalDB
621227,ICBC,中国工商银行,借记卡,19,LocalDB
621228,HLJRCU,黑龙江省农村信用社,借记卡,19,LocalDB
621229,ICBC,中国工商银行,借记卡,19,LocalDB
621230,ICBC,中国工商银行,借记卡,19,LocalDB
621232,BNU,大西洋银行,借记卡,19,LocalDB
621233,DZCBANK,达州银行,借记卡,19,LocalDB
621234,CSC,CSC借记卡,借记卡,16,LocalDB
621235,ZYB,中原银行,借记卡,18,LocalDB
621237,QHDBANK,秦皇岛银行,借记卡,19,LocalDB
621238,XTB,邢台银行,借记卡,19,LocalDB
621239,HSBK,衡水银行,借记卡,19,LocalDB
621240,ICBC,中国工商银行,借记卡,19,LocalDB
621241,BOSZ,苏州银行,借记卡,19,LocalDB
621241001,BOSZ,苏州银行,借记卡,19,LocalDB
621241002,BOSZ,苏州银行,借记卡,19,LocalDB
621241003,BOSZ,苏州银行,借记卡,19,LocalDB
621241004,BOSZ,苏州银行,借记卡,19,LocalDB
621242,LZYH,兰州银行,借记卡,19,LocalDB
621244,SJBANK,盛京银行,借记卡,16,LocalDB
621246,NCB,江西银行,借记卡,19,LocalDB
621247,BNU,大西洋银行,借记卡,19,LocalDB
621250001,HSBC,汇丰银行（中国）,借记卡,16,LocalDB
621251,FJNX,福建省农村信用社联合社,借记卡,19,LocalDB
621252,QDCCB,青岛银行,借记卡,16,LocalDB
621253,BCDMMA,澳门商业银行,借记卡,19,LocalDB
621254,BCDMMA,澳门商业银行,借记卡,19,LocalDB
621255,BCDMMA,澳门商业银行,借记卡,19,LocalDB
621256,BOC,中国银行,借记卡,19,LocalDB
621258,CRCBANK,重庆农村商业银行,借记卡,16,LocalDB
621259,NJCB,南京银行,借记卡,16,LocalDB
621260,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260001,XFRCB,咸丰常农商村镇银行,借记卡,19,LocalDB
621260002,ESRCB,恩施农村商业银行,借记卡,19,LocalDB
621260102,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260103,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260104,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260105,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260106,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260107,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260108,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260109,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260110,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260113,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260116,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260117,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260118,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260119,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260120,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260121,CSRCB,常熟农商银行,借记卡,19,LocalDB
621260122,CSRCB,常熟农商银行,借记卡,19,LocalDB
621261,SPABANK,平安银行,信用卡,16,LocalDB
621262,SPABANK,平安银行,信用卡,16,LocalDB
621263,KORLABANK,库尔勒市商业银行,借记卡,18,LocalDB
621265001,JSRCU,江苏省农村信用联合社,借记卡,19,LocalDB
621266,BOCZ,沧州银行,借记卡,19,LocalDB
621267,FJHXBC,福建海峡银行,借记卡,18,LocalDB
621268,BOHAIB,渤海银行,借记卡,16,LocalDB
621269,NCB,江西银行,借记卡,16,LocalDB
621270,HBC,湖北银行,借记卡,18,LocalDB
621271,ZYB,中原银行,借记卡,19,LocalDB
621272,YQCCB,阳泉银行,借记卡,16,LocalDB
621273,YBCCB,宜宾市商业银行,借记卡,19,LocalDB
621275,SPDB,上海浦东发展银行,借记卡,19,LocalDB
621276,CMB,招商银行,借记卡,16,LocalDB
621277,DSBCN,大新银行（中国）,借记卡,16,LocalDB
62127817,HDHMCB,惠东惠民村镇银行,借记卡,18,LocalDB
621278293,GXHMVB,长春高新惠民村镇银行,借记卡,18,LocalDB
62127839,FMBANK,吉林丰满惠民村镇银行,借记卡,18,LocalDB
621279,NBBANK,宁波银行,借记卡,16,LocalDB
621280,SXRCU,山西省农村信用社,借记卡,19,LocalDB
621281,ICBC,中国工商银行,借记卡,19,LocalDB
621282,ABC,中国农业银行,借记卡,19,LocalDB
621283,BOC,中国银行,借记卡,19,LocalDB
621284,CCB,中国建设银行,借记卡,19,LocalDB
621285,PSBC,中国邮政储蓄银行,借记卡,19,LocalDB
621286,CMB,招商银行,借记卡,16,LocalDB
621287,XJRCU,新疆农村信用社,借记卡,16,LocalDB
621288,ICBC,中国工商银行,借记卡,19,LocalDB
621289,NCB,江西银行,借记卡,19,LocalDB
621290,NCBANK,宁波通商银行,借记卡,19,LocalDB
621291,NCB,江西银行,借记卡,19,LocalDB
621292,NCB,江西银行,借记卡,19,LocalDB
621296,CABANK,长安银行,借记卡,19,LocalDB
621298,WHB,永亨银行,借记卡,18,LocalDB
621325,YACCB,雅安市商业银行,借记卡,19,LocalDB
